XMDUENT,XMDUSITE,XMDUDOCNO,XMDUSEQ,XMDU002,XMDU008,XMDU011
3,JINPAO,JP2101-20161224104,2.0,8021108300400000,PC,222.65
3,JINPAO,JP2101-20161224104,3.0,8021105304100000,PC,294.24
3,JINPAO,JP2101-20161224105,1.0,8021103201500000,PC,133.99
3,JINPAO,JP2101-20161224105,2.0,8021105303300000,PC,97.0
3,JINPAO,JP2101-20161224105,3.0,8021103198800000,PC,467.4
3,JINPAO,JP2101-20161224105,4.0,8021103199200000,PC,517.78
3,JINPAO,JP2101-20161224105,5.0,8021103202600000,PC,84.2
3,JINPAO,JP2101-20161224106,1.0,8021103202700001,PC,165.72
3,JINPAO,JP2101-20161224106,2.0,8021103199600000,PC,714.54
3,JINPAO,JP2101-20161224243,1.0,8021103224000000,PC,331.0
3,JINPAO,JP2101-20161224244,1.0,8021103325400000,PC,135.0
3,JINPAO,JP2101-20161224244,2.0,8021103326900000,PC,170.0
3,JINPAO,JP2101-20161224244,3.0,8021103327000000,PC,60.0
3,JINPAO,JP2101-20161224006,16.0,8021103095000000,PC,0.0
3,JINPAO,JP2101-20161224006,17.0,8021103102300000,PC,0.0
3,JINPAO,JP2101-20161224006,18.0,8021103115500000,PC,0.0
3,JINPAO,JP2101-20161224006,19.0,8021103083900000,PC,0.0
3,JINPAO,JP2101-20161224006,20.0,8021103116300000,PC,0.0
3,JINPAO,JP2101-20161224007,1.0,8021103063500000,PC,0.0
3,JINPAO,JP2101-20161224007,2.0,8021103113700000,PC,0.0
3,JINPAO,JP2101-20161224007,3.0,8021103093000000,PC,0.0
3,JINPAO,JP2101-20161224007,4.0,8021103141900000,PC,0.0
3,JINPAO,JP2101-20161224007,5.0,8021103084800000,PC,0.0
3,JINPAO,JP2101-20161224007,6.0,8021103084900000,PC,0.0
3,JINPAO,JP2101-20161224010,17.0,8021103064700000,PC,0.0
3,JINPAO,JP2101-20161224010,18.0,8021103082700000,PC,0.0
3,JINPAO,JP2101-20161223864,1.0,8021103102200000,PC,0.0
